Date;Close
23/11/2017;28
23/11/2017;80
24/11/2017;49
24/11/2017;69
24/11/2017;97
24/11/2017;56
25/11/2017;90
25/11/2017;49
25/11/2017;99
27/11/2017;62
27/11/2017;93
27/11/2017;55
27/11/2017;17
28/11/2017;62
28/11/2017;88
28/11/2017;01
28/11/2017;34
29/11/2017;57
29/11/2017;55
29/11/2017;23
30/11/2017;14
30/11/2017;84
30/11/2017;44
30/11/2017;52
04/12/2017;80
02/01/2018;67
02/01/2018;63
02/01/2018;30
02/01/2018;76
03/01/2018;84
03/01/2018;72
03/01/2018;21
03/01/2018;08
04/01/2018;57
04/01/2018;19
04/01/2018;82
04/01/2018;72
05/01/2018;06
05/01/2018;93
05/01/2018;03
05/01/2018;39
06/01/2018;62
06/01/2018;80
06/01/2018;68
06/01/2018;73
08/01/2018;07
08/01/2018;73
08/01/2018;91
08/01/2018;92
09/01/2018;95
09/01/2018;34
09/01/2018;23
09/01/2018;30
10/01/2018;29
10/01/2018;51
10/01/2018;62
10/01/2018;38
11/01/2018;19
11/01/2018;44
11/01/2018;72
11/01/2018;33
12/01/2018;16
12/01/2018;87
12/01/2018;44
12/01/2018;75
13/01/2018;19
13/01/2018;28
13/01/2018;75
13/01/2018;79
15/01/2018;79
15/01/2018;83
15/01/2018;51
15/01/2018;22
16/01/2018;01
16/01/2018;36
16/01/2018;54
16/01/2018;78
17/01/2018;61
17/01/2018;75
17/01/2018;12
17/01/2018;38
18/01/2018;68
18/01/2018;44
18/01/2018;54
18/01/2018;15
19/01/2018;38
19/01/2018;58
19/01/2018;07
19/01/2018;15
20/01/2018;10
20/01/2018;23
20/01/2018;44
20/01/2018;51
22/01/2018;37
22/01/2018;08
22/01/2018;47
22/01/2018;85
23/01/2018;15
23/01/2018;37
23/01/2018;37
23/01/2018;68
24/01/2018;06
24/01/2018;25
24/01/2018;05
24/01/2018;05
25/01/2018;30
25/01/2018;65
25/01/2018;85
25/01/2018;68
26/01/2018;80
26/01/2018;28
26/01/2018;21
26/01/2018;00
27/01/2018;88
27/01/2018;32
27/01/2018;31
27/01/2018;22
29/01/2018;71
29/01/2018;44
29/01/2018;03
29/01/2018;80
30/01/2018;35
30/01/2018;46
30/01/2018;07
30/01/2018;62
31/01/2018;96
31/01/2018;50
31/01/2018;93
